Room Number,Floor,Building Name,House Name,Room Type,Original Image
839B,3,Burton-Judson,Salisbury,Single,001_BJ_Salisbury_3_pdf_house_0.png
830A,3,Burton-Judson,Salisbury,Single,001_BJ_Salisbury_3_pdf_house_0.png
830B,3,Burton-Judson,Salisbury,Single,001_BJ_Salisbury_3_pdf_house_0.png
839A,3,Burton-Judson,Salisbury,Single,001_BJ_Salisbury_3_pdf_house_0.png
838,3,Burton-Judson,Salisbury,Single,001_BJ_Salisbury_3_pdf_house_0.png
831,3,Burton-Judson,Salisbury,Single,001_BJ_Salisbury_3_pdf_house_0.png
832,3,Burton-Judson,Salisbury,Single,001_BJ_Salisbury_3_pdf_house_0.png
837,3,Burton-Judson,Salisbury,Single,001_BJ_Salisbury_3_pdf_house_0.png
836,3,Burton-Judson,Salisbury,Single,001_BJ_Salisbury_3_pdf_house_0.png
833,3,Burton-Judson,Salisbury,Single,001_BJ_Salisbury_3_pdf_house_0.png
834,3,Burton-Judson,Salisbury,Single,001_BJ_Salisbury_3_pdf_house_0.png
835,3,Burton-Judson,Salisbury,Double,001_BJ_Salisbury_3_pdf_house_0.png
829,2,Burton-Judson,Salisbury,Single,002_BJ_Salisbury_2_pdf_house_0.png
828,2,Burton-Judson,Salisbury,Single,002_BJ_Salisbury_2_pdf_house_0.png
827,2,Burton-Judson,Salisbury,Single,002_BJ_Salisbury_2_pdf_house_0.png
826,2,Burton-Judson,Salisbury,Single,002_BJ_Salisbury_2_pdf_house_0.png
825,2,Burton-Judson,Salisbury,Single,002_BJ_Salisbury_2_pdf_house_0.png
824,2,Burton-Judson,Salisbury,Double,002_BJ_Salisbury_2_pdf_house_0.png
439B,3,Burton-Judson,Vincent,Single,003_BJ_Vincent_3_pdf_house_0.png
439A,3,Burton-Judson,Vincent,Single,003_BJ_Vincent_3_pdf_house_0.png
438,3,Burton-Judson,Vincent,Single,003_BJ_Vincent_3_pdf_house_0.png
437,3,Burton-Judson,Vincent,Single,003_BJ_Vincent_3_pdf_house_0.png
