Full Text,Floor,Building Name,House Name,Original Image
"Bath 839E",3,Burton-Judson,Salisbury,001_BJ_Salisbury_3_pdf_house_0.png
"Bath 829B Women",2,Burton-Judson,Salisbury,002_BJ_Salisbury_2_pdf_house_0.png
"RH 820",2,Burton-Judson,Salisbury,002_BJ_Salisbury_2_pdf_house_0.png
"Bath 434C Men",3,Burton-Judson,Vincent,003_BJ_Vincent_3_pdf_house_0.png
"RA 455",5,Burton-Judson,Vincent,004_BJ_Vincent_5_pdf_house_0.png
"Bath 459 All Gender",5,Burton-Judson,Vincent,004_BJ_Vincent_5_pdf_house_0.png
"Lounge 419",1,Burton-Judson,Vincent,005_BJ_Vincent_1_pdf_house_0.png
"Bathroom 414C All Gender",1,Burton-Judson,Vincent,005_BJ_Vincent_1_pdf_house_0.png
"RH 429",2,Burton-Judson,Vincent,006_BJ_Vincent_2_pdf_house_0.png
"Bath 426 Women",2,Burton-Judson,Vincent,006_BJ_Vincent_2_pdf_house_0.png
"Bathroom 444C All Gender",4,Burton-Judson,Vincent,007_BJ_Vincent_4_pdf_house_0.png
"Bathroom All Gender",4,Burton-Judson,Salisbury,008_BJ_Salisbury_4_pdf_house_0.png
"RA 847",4,Burton-Judson,Salisbury,008_BJ_Salisbury_4_pdf_house_0.png
"Bathroom 819 All Gender",1,Burton-Judson,Salisbury,009_BJ_Salisbury_1_pdf_house_0.png
"Lounge 818",1,Burton-Judson,Salisbury,009_BJ_Salisbury_1_pdf_house_0.png
"RA 641",4,Burton-Judson,Linn Mathews,011_BJ_Linn_Mathews_4_pdf_house_0.png
"Bathroom 649 All Gender",4,Burton-Judson,Linn Mathews,011_BJ_Linn_Mathews_4_pdf_house_0.png
"Bathroom 749 All Gender",4,Burton-Judson,Linn Mathews,011_BJ_Linn_Mathews_4_pdf_house_0.png
"RA 741",4,Burton-Judson,Linn Mathews,011_BJ_Linn_Mathews_4_pdf_house_0.png
"Bathroom 612 Women",1,Burton-Judson,Linn Mathews,013_BJ_Linn_Mathews_1_pdf_house_0.png
"Bathroom 713E Men",1,Burton-Judson,Linn Mathews,013_BJ_Linn_Mathews_1_pdf_house_0.png
"Lounge 613/713",1,Burton-Judson,Linn Mathews,013_BJ_Linn_Mathews_1_pdf_house_0.png
"RH 624",2,Burton-Judson,Linn Mathews,014_BJ_Linn_Mathews_2_pdf_house_0.png
"Bath 622C All Gender",2,Burton-Judson,Linn Mathews,014_BJ_Linn_Mathews_2_pdf_house_0.png
"Bath 723A All Gender",2,Burton-Judson,Linn Mathews,014_BJ_Linn_Mathews_2_pdf_house_0.png
"Lounge 214",1,Burton-Judson,Dodd Mead,015_BJ_Dodd_Mead_1_pdf_house_0.png
"RA 244",4,Burton-Judson,Dodd Mead,016_BJ_Dodd_Mead_4_pdf_house_0.png
"Bathroom 249 All Gender",4,Burton-Judson,Dodd Mead,016_BJ_Dodd_Mead_4_pdf_house_0.png
"Bathroom 148 All Gender",4,Burton-Judson,Dodd Mead,016_BJ_Dodd_Mead_4_pdf_house_0.png
"RH 127",2,Burton-Judson,Dodd Mead,017_BJ_Dodd_Mead_2_pdf_house_0.png
"Bathroom 126 All Gende",2,Burton-Judson,Dodd Mead,017_BJ_Dodd_Mead_2_pdf_house_0.png
"Bath 539 Women",3,Burton-Judson,Coulter,018_BJ_Coulter_3_pdf_house_0.png
"Bathroom 514E All Gender",1,Burton-Judson,Coulter,019_BJ_Coulter_1_pdf_house_0.png
"Lounge 517",1,Burton-Judson,Coulter,019_BJ_Coulter_1_pdf_house_0.png
"Bathroom 549 Women",4,Burton-Judson,Coulter,020_BJ_Coulter_4_pdf_house_0.png
"RA 542",4,Burton-Judson,Coulter,020_BJ_Coulter_4_pdf_house_0.png
"RH 521",2,Burton-Judson,Coulter,021_BJ_Coulter_2_pdf_house_0.png
"Bath 558 Men",5,Burton-Judson,Coulter,022_BJ_Coulter_5_pdf_house_0.png
"Bath 333C All Gender",3,Burton-Judson,Chamberlin,023_BJ_Chamberlin_3_pdf_house_0.png
"Bathroom 343C All Gender",4,Burton-Judson,Chamberlin,024_BJ_Chamberlin_4_pdf_house_0.png
"RH 329",2,Burton-Judson,Chamberlin,025_BJ_Chamberlin_2_pdf_house_0.png
"Bath 325 Women",2,Burton-Judson,Chamberlin,025_BJ_Chamberlin_2_pdf_house_0.png
"RA 353",5,Burton-Judson,Chamberlin,026_BJ_Chamberlin_5_pdf_house_0.png
"Bath 359 All Gender",5,Burton-Judson,Chamberlin,026_BJ_Chamberlin_5_pdf_house_0.png
"Lounge 319",1,Burton-Judson,Chamberlin,028_BJ_Chamberlin_1_pdf_house_0.png
"Bathroom 313C Men",1,Burton-Judson,Chamberlin,028_BJ_Chamberlin_1_pdf_house_0.png
