Full Text,Floor,Building Name,House Name,Original Image
Lounge 867,8,I-House,Breckinridge,001_I_House_Breckinridge_8_pdf_house_0.png
Women Bathroom,8,I-House,Breckinridge,001_I_House_Breckinridge_8_pdf_house_0.png
RA 948,9,I-House,Breckinridge,002_I_House_Breckinridge_9_pdf_house_0.png
Bathroom,9,I-House,Breckinridge,002_I_House_Breckinridge_9_pdf_house_0.png
Bathroom,9,I-House,Breckinridge,002_I_House_Breckinridge_9_pdf_house_0.png
RA 360,3,I-House,Booth,003_I_House_Booth_3_pdf_house_0.png
Bathroom Men,3,I-House,Booth,003_I_House_Booth_3_pdf_house_0.png
Bathroom All Gender,3,I-House,Booth,003_I_House_Booth_3_pdf_house_0.png
Stairs,3,I-House,Booth,003_I_House_Booth_3_pdf_house_0.png
RH 382,3,I-House,Booth,003_I_House_Booth_3_pdf_house_0.png
Bathroom Men,7,I-House,Breckinridge,004_I_House_Breckinridge_7_pdf_house_0.png
RA 760,7,I-House,Breckinridge,004_I_House_Breckinridge_7_pdf_house_0.png
Bathroom,11,I-House,Breckinridge,005_I_House_Breckinridge_11_pdf_house_0.png
RA 417,4,I-House,Thompson,006_I_House_Thompson_4_pdf_house_0.png
Bathroom All Gender,4,I-House,Thompson,006_I_House_Thompson_4_pdf_house_0.png
Bathroom Women,2,I-House,Booth,007_I_House_Booth_2_pdf_house_0.png
RA 278,2,I-House,Booth,007_I_House_Booth_2_pdf_house_0.png
Trash Room,2,I-House,Booth,007_I_House_Booth_2_pdf_house_0.png
Bathroom,2,I-House,Booth,007_I_House_Booth_2_pdf_house_0.png
Lounge,2,I-House,Booth,007_I_House_Booth_2_pdf_house_0.png
RH 516,5,I-House,Thompson,008_I_House_Thompson_5_pdf_house_0.png
Bathroom Men,5,I-House,Thompson,008_I_House_Thompson_5_pdf_house_0.png
Lounge 501,5,I-House,Thompson,008_I_House_Thompson_5_pdf_house_0.png
Bathroom Women,3,I-House,Thompson,009_I_House_Thompson_3_pdf_house_0.png
Lounge 398,3,I-House,Thompson,009_I_House_Thompson_3_pdf_house_0.png
Bathroom All Gender,2,I-House,Thompson,010_I_House_Thompson_2_pdf_house_0.png
RA 217,2,I-House,Thompson,010_I_House_Thompson_2_pdf_house_0.png
Bathroom Men,4,I-House,Phoenix,011_I_House_Phoenix_4_pdf_house_0.png
RH 482,4,I-House,Phoenix,011_I_House_Phoenix_4_pdf_house_0.png
Bathroom All Gender,7,I-House,Shorey,012_I_House_Shorey_7_pdf_house_0.png
RA 717,7,I-House,Shorey,012_I_House_Shorey_7_pdf_house_0.png
RH 616,6,I-House,Shorey,013_I_House_Shorey_6_pdf_house_0.png
Bathroom Women,6,I-House,Shorey,013_I_House_Shorey_6_pdf_house_0.png
Lounge 601,6,I-House,Shorey,013_I_House_Shorey_6_pdf_house_0.png
Bathroom Women,5,I-House,Phoenix,014_I_House_Phoenix_5_pdf_house_0.png
RA 560,5,I-House,Phoenix,014_I_House_Phoenix_5_pdf_house_0.png
Lounge 577,5,I-House,Phoenix,014_I_House_Phoenix_5_pdf_house_0.png
Bathroom All Gender,6,I-House,Phoenix,015_I_House_Phoenix_6_pdf_house_0.png
RA 660,6,I-House,Phoenix,015_I_House_Phoenix_6_pdf_house_0.png
Lounge 669,6,I-House,Phoenix,015_I_House_Phoenix_6_pdf_house_0.png
Bathroom,12,I-House,Breckinridge,016_I_House_Breckinridge_12_pdf_house_0.png
