Room Number,Floor,Building Name,House Name,Room Type,Original Image
C311A,3,Max Palevsky,Graham,Single,001_Max_P_Graham_Floor_3_pdf_house_0.png
C309B,3,Max Palevsky,Graham,Double,001_Max_P_Graham_Floor_3_pdf_house_0.png
C309A,3,Max Palevsky,Graham,Double,001_Max_P_Graham_Floor_3_pdf_house_0.png
C307B,3,Max Palevsky,Graham,Double,001_Max_P_Graham_Floor_3_pdf_house_0.png
C307A,3,Max Palevsky,Graham,Double,001_Max_P_Graham_Floor_3_pdf_house_0.png
C305B,3,Max Palevsky,Graham,Double,001_Max_P_Graham_Floor_3_pdf_house_0.png
C305A,3,Max Palevsky,Graham,Double,001_Max_P_Graham_Floor_3_pdf_house_0.png
C303B,3,Max Palevsky,Graham,Double,001_Max_P_Graham_Floor_3_pdf_house_0.png
C303A,3,Max Palevsky,Graham,Double,001_Max_P_Graham_Floor_3_pdf_house_0.png
C301B,3,Max Palevsky,Graham,Double,001_Max_P_Graham_Floor_3_pdf_house_0.png
C301A,3,Max Palevsky,Graham,Double,001_Max_P_Graham_Floor_3_pdf_house_0.png
C316A,3,Max Palevsky,Graham,Single,001_Max_P_Graham_Floor_3_pdf_house_0.png
C316B,3,Max Palevsky,Graham,Single,001_Max_P_Graham_Floor_3_pdf_house_0.png
C314A,3,Max Palevsky,Graham,Single,001_Max_P_Graham_Floor_3_pdf_house_0.png
C314B,3,Max Palevsky,Graham,Single,001_Max_P_Graham_Floor_3_pdf_house_0.png
C312A,3,Max Palevsky,Graham,Double,001_Max_P_Graham_Floor_3_pdf_house_0.png
C312B,3,Max Palevsky,Graham,Double,001_Max_P_Graham_Floor_3_pdf_house_0.png
C310A,3,Max Palevsky,Graham,Double,001_Max_P_Graham_Floor_3_pdf_house_0.png
C310B,3,Max Palevsky,Graham,Double,001_Max_P_Graham_Floor_3_pdf_house_0.png
C308A,3,Max Palevsky,Graham,Double,001_Max_P_Graham_Floor_3_pdf_house_0.png
C308B,3,Max Palevsky,Graham,Double,001_Max_P_Graham_Floor_3_pdf_house_0.png
C306A,3,Max Palevsky,Graham,Double,001_Max_P_Graham_Floor_3_pdf_house_0.png
C306B,3,Max Palevsky,Graham,Double,001_Max_P_Graham_Floor_3_pdf_house_0.png
C304A,3,Max Palevsky,Graham,Double,001_Max_P_Graham_Floor_3_pdf_house_0.png
C304B,3,Max Palevsky,Graham,Double,001_Max_P_Graham_Floor_3_pdf_house_0.png
E301A,3,Max Palevsky,Alper,Double,002_Max_P_Alper_Floor_3_pdf_house_0.png
E301B,3,Max Palevsky,Alper,Double,002_Max_P_Alper_Floor_3_pdf_house_0.png
E303A,3,Max Palevsky,Alper,Double,002_Max_P_Alper_Floor_3_pdf_house_0.png
E303B,3,Max Palevsky,Alper,Double,002_Max_P_Alper_Floor_3_pdf_house_0.png
E305A,3,Max Palevsky,Alper,Double,002_Max_P_Alper_Floor_3_pdf_house_0.png
E305B,3,Max Palevsky,Alper,Double,002_Max_P_Alper_Floor_3_pdf_house_0.png
E307A,3,Max Palevsky,Alper,Double,002_Max_P_Alper_Floor_3_pdf_house_0.png
E307B,3,Max Palevsky,Alper,Double,002_Max_P_Alper_Floor_3_pdf_house_0.png
E309A,3,Max Palevsky,Alper,Single,002_Max_P_Alper_Floor_3_pdf_house_0.png
E302B,3,Max Palevsky,Alper,Single,002_Max_P_Alper_Floor_3_pdf_house_0.png
E302A,3,Max Palevsky,Alper,Single,002_Max_P_Alper_Floor_3_pdf_house_0.png
E304B,3,Max Palevsky,Alper,Single,002_Max_P_Alper_Floor_3_pdf_house_0.png
E304A,3,Max Palevsky,Alper,Single,002_Max_P_Alper_Floor_3_pdf_house_0.png
