Full Text,Floor,Building Name,House Name,Original Image
RA C311B,3,Max Palevsky,Graham,001_Max_P_Graham_Floor_3_pdf_house_0.png
Trash Room C300D,3,Max Palevsky,Graham,001_Max_P_Graham_Floor_3_pdf_house_0.png
RH E316,3,Max Palevsky,Alper,002_Max_P_Alper_Floor_3_pdf_house_0.png
RA E309B,3,Max Palevsky,Alper,002_Max_P_Alper_Floor_3_pdf_house_0.png
RA E322B,3,Max Palevsky,Alper,002_Max_P_Alper_Floor_3_pdf_house_0.png
RA E412B,4,Max Palevsky,Alper,003_Max_P_Alper_Floor_4_pdf_house_0.png
RA C411B,4,Max Palevsky,Graham,004_Max_P_Graham_Floor_4_pdf_house_0.png
RH C403,4,Max Palevsky,Graham,004_Max_P_Graham_Floor_4_pdf_house_0.png
Trash Room C400D,4,Max Palevsky,Graham,004_Max_P_Graham_Floor_4_pdf_house_0.png
Trash Room C400G,4,Max Palevsky,Woodward,005_Max_P_Woodward_Floor_4_pdf_house_0.png
RA C428A,4,Max Palevsky,Woodward,005_Max_P_Woodward_Floor_4_pdf_house_0.png
RH C321,3,Max Palevsky,Woodward,006_Max_P_Woodward_Floor_3_pdf_house_0.png
Trash Room C300G,3,Max Palevsky,Woodward,006_Max_P_Woodward_Floor_3_pdf_house_0.png
RA C111B,1,Max Palevsky,Flint,007_Max_P_Flint_Floor_1_pdf_house_0.png
RA C211B,2,Max Palevsky,Flint,008_Max_P_Flint_Floor_2_pdf_house_0.png
Lounge W312,3,Max Palevsky,Rickert,009_Max_P_Rickert_Floor_3_pdf_house_0.png
Kitchen W312A,3,Max Palevsky,Rickert,009_Max_P_Rickert_Floor_3_pdf_house_0.png
RH W316,3,Max Palevsky,Rickert,009_Max_P_Rickert_Floor_3_pdf_house_0.png
Study W307,3,Max Palevsky,Rickert,009_Max_P_Rickert_Floor_3_pdf_house_0.png
RA W305B,3,Max Palevsky,Rickert,009_Max_P_Rickert_Floor_3_pdf_house_0.png
Study W400B,4,Max Palevsky,Rickert,010_Max_P_Rickert_Floor_4_pdf_house_0.png
RA W414B,4,Max Palevsky,Rickert,010_Max_P_Rickert_Floor_4_pdf_house_0.png
Lounge W112,1,Max Palevsky,Wallace,011_Max_P_Wallace_Floor_1_pdf_house_0.png
Kitchen W112A,1,Max Palevsky,Wallace,011_Max_P_Wallace_Floor_1_pdf_house_0.png
RA W114B,1,Max Palevsky,Wallace,011_Max_P_Wallace_Floor_1_pdf_house_0.png
Trash W100I,1,Max Palevsky,Wallace,011_Max_P_Wallace_Floor_1_pdf_house_0.png
Study W207,2,Max Palevsky,Wallace,012_Max_P_Wallace_Floor_2_pdf_house_0.png
RH W216,2,Max Palevsky,Wallace,012_Max_P_Wallace_Floor_2_pdf_house_0.png
RA W202B,2,Max Palevsky,Wallace,012_Max_P_Wallace_Floor_2_pdf_house_0.png
RA C128A,1,Max Palevsky,Woodward,014_Max_P_Woodward_Floor_1_pdf_house_0.png
RA E322B,3,Max Palevsky,Hoover,015_Max_P_Hoover_Floor_3_pdf_house_0.png
Lounge E325,3,Max Palevsky,Hoover,015_Max_P_Hoover_Floor_3_pdf_house_0.png
Kitchen E325A,3,Max Palevsky,Hoover,015_Max_P_Hoover_Floor_3_pdf_house_0.png
Commons E102,1,Max Palevsky,May,016_Max_P_May_Floor_1_pdf_house_0.png
Commons E104,1,Max Palevsky,May,016_Max_P_May_Floor_1_pdf_house_0.png
Kitchen E104A,1,Max Palevsky,May,016_Max_P_May_Floor_1_pdf_house_0.png
Computer Lab E106,1,Max Palevsky,May,016_Max_P_May_Floor_1_pdf_house_0.png
RA E109B,1,Max Palevsky,May,016_Max_P_May_Floor_1_pdf_house_0.png
AD E116,1,Max Palevsky,May,016_Max_P_May_Floor_1_pdf_house_0.png
RA Room E127A,1,Max Palevsky,Hoover,017_Max_P_Hoover_Floor_1_pdf_house_0.png
Lounge E125,1,Max Palevsky,Hoover,017_Max_P_Hoover_Floor_1_pdf_house_0.png
RH E231,2,Max Palevsky,Hoover,018_Max_P_Hoover_Floor_2_pdf_house_0.png
Commons E202,2,Max Palevsky,May,019_Max_P_May_Floor_2_pdf_house_0.png
Kitchen E202A,2,Max Palevsky,May,019_Max_P_May_Floor_2_pdf_house_0.png
RA E210B,2,Max Palevsky,May,019_Max_P_May_Floor_2_pdf_house_0.png
RH E216,2,Max Palevsky,May,019_Max_P_May_Floor_2_pdf_house_0.png
RM E429,4,Max Palevsky,Hoover,020_Max_P_Hoover_Floor_4_pdf_house_0.png
