Full Text,Floor,Building Name,House Name,Original Image
Trash Room W416,4,Renee_Granville-Grossman,Halperin,001_GGRC_Halperin_4_pdf_house_0.png
Bathroom W422 All Gender,4,Renee_Granville-Grossman,Halperin,001_GGRC_Halperin_4_pdf_house_0.png
Bathroom W424,4,Renee_Granville-Grossman,Halperin,001_GGRC_Halperin_4_pdf_house_0.png
Single W430,4,Renee_Granville-Grossman,Halperin,001_GGRC_Halperin_4_pdf_house_0.png
Bathroom Men,8,Renee_Granville-Grossman,Crown,002_GGRC_Crown_8_pdf_house_0.png
Trash Room C817,8,Renee_Granville-Grossman,Crown,002_GGRC_Crown_8_pdf_house_0.png
Bathroom All Gender,9,Renee_Granville-Grossman,Crown,003_GGRC_Crown_9_pdf_house_0.png
Bathroom,9,Renee_Granville-Grossman,Crown,003_GGRC_Crown_9_pdf_house_0.png
RA C916,9,Renee_Granville-Grossman,Crown,003_GGRC_Crown_9_pdf_house_0.png
Bathroom C502 All Gender,5,Renee_Granville-Grossman,Crown,004_GGRC_Crown_5_pdf_house_0.png
Trash Room C517,5,Renee_Granville-Grossman,Crown,004_GGRC_Crown_5_pdf_house_0.png
Computer lab C519,5,Renee_Granville-Grossman,Crown,004_GGRC_Crown_5_pdf_house_0.png
Kitchen C518,5,Renee_Granville-Grossman,Crown,004_GGRC_Crown_5_pdf_house_0.png
Lounge C521,5,Renee_Granville-Grossman,Crown,004_GGRC_Crown_5_pdf_house_0.png
RH C520,5,Renee_Granville-Grossman,Crown,004_GGRC_Crown_5_pdf_house_0.png
Bathroom C602 All Gender,6,Renee_Granville-Grossman,Crown,005_GGRC_Crown_6_pdf_house_0.png
RH C610,6,Renee_Granville-Grossman,Crown,005_GGRC_Crown_6_pdf_house_0.png
Trash room E532,5,Renee_Granville-Grossman,Cathey,006_GGRC_Cathey_5_pdf_house_0.png
Bathroom E526 All Gender,5,Renee_Granville-Grossman,Cathey,006_GGRC_Cathey_5_pdf_house_0.png
RA E529,5,Renee_Granville-Grossman,Cathey,006_GGRC_Cathey_5_pdf_house_0.png
RH E332,3,Renee_Granville-Grossman,Cathey,007_GGRC_Cathey_3_pdf_house_0.png
Trash Room E348,3,Renee_Granville-Grossman,Cathey,007_GGRC_Cathey_3_pdf_house_0.png
Bathroom Men,3,Renee_Granville-Grossman,Cathey,007_GGRC_Cathey_3_pdf_house_0.png
Bathroom E442 Women,4,Renee_Granville-Grossman,Cathey,008_GGRC_Cathey_4_pdf_house_0.png
RA E443,4,Renee_Granville-Grossman,Cathey,008_GGRC_Cathey_4_pdf_house_0.png
RH 230,2,Renee_Granville-Grossman,Cathey,009_GGRC_Cathey_2_pdf_house_0.png
Bathroom E234 Women,2,Renee_Granville-Grossman,Cathey,009_GGRC_Cathey_2_pdf_house_0.png
RD E237,2,Renee_Granville-Grossman,Cathey,009_GGRC_Cathey_2_pdf_house_0.png
Study E146,1,Renee_Granville-Grossman,Cathey,010_GGRC_Cathey_1_pdf_house_0.png
Lounge E144,1,Renee_Granville-Grossman,Cathey,010_GGRC_Cathey_1_pdf_house_0.png
Study E140,1,Renee_Granville-Grossman,Cathey,010_GGRC_Cathey_1_pdf_house_0.png
Bathroom E136 All Gender,1,Renee_Granville-Grossman,Cathey,010_GGRC_Cathey_1_pdf_house_0.png
RD E137,1,Renee_Granville-Grossman,Cathey,010_GGRC_Cathey_1_pdf_house_0.png
Trash Room E706,7,Renee_Granville-Grossman,Wendt,011_GGRC_Wendt_7_pdf_house_0.png
Bathroom E703 Men,7,Renee_Granville-Grossman,Wendt,011_GGRC_Wendt_7_pdf_house_0.png
RA E705,7,Renee_Granville-Grossman,Wendt,011_GGRC_Wendt_7_pdf_house_0.png
Bathroom W556,5,Renee_Granville-Grossman,Kenwood,012_GGRC_Kenwood_5_pdf_house_0.png
Bathroom W558 Men,5,Renee_Granville-Grossman,Kenwood,012_GGRC_Kenwood_5_pdf_house_0.png
Computer Lab E503B,5,Renee_Granville-Grossman,Wendt,013_GGRC_Wendt_5_pdf_house_0.png
Kitchen E503,5,Renee_Granville-Grossman,Wendt,013_GGRC_Wendt_5_pdf_house_0.png
Lounge E505,5,Renee_Granville-Grossman,Wendt,013_GGRC_Wendt_5_pdf_house_0.png
Trash Room E504,5,Renee_Granville-Grossman,Wendt,013_GGRC_Wendt_5_pdf_house_0.png
Bathroom E507 All Gender,5,Renee_Granville-Grossman,Wendt,013_GGRC_Wendt_5_pdf_house_0.png
RH E520,5,Renee_Granville-Grossman,Wendt,013_GGRC_Wendt_5_pdf_house_0.png
RA W439,4,Renee_Granville-Grossman,Kenwood,014_GGRC_Kenwood_4_pdf_house_0.png
Trash room W440,4,Renee_Granville-Grossman,Kenwood,014_GGRC_Kenwood_4_pdf_house_0.png
Bathroom W452 Women,4,Renee_Granville-Grossman,Kenwood,014_GGRC_Kenwood_4_pdf_house_0.png
Trash Room E604,6,Renee_Granville-Grossman,Wendt,015_GGRC_Wendt_6_pdf_house_0.png
Bathroom E607 Women,6,Renee_Granville-Grossman,Wendt,015_GGRC_Wendt_6_pdf_house_0.png
RH E620,6,Renee_Granville-Grossman,Wendt,015_GGRC_Wendt_6_pdf_house_0.png
Trash Room E806,8,Renee_Granville-Grossman,Wendt,016_GGRC_Wendt_8_pdf_house_0.png
Bathroom,8,Renee_Granville-Grossman,Wendt,016_GGRC_Wendt_8_pdf_house_0.png
Bathroom All Gender,8,Renee_Granville-Grossman,Wendt,016_GGRC_Wendt_8_pdf_house_0.png
RA E819,8,Renee_Granville-Grossman,Wendt,016_GGRC_Wendt_8_pdf_house_0.png
Lounge W509,5,Renee_Granville-Grossman,DelGiorno,017_GGRC_DelGiorno_5_pdf_house_0.png
Computer Lab W511,5,Renee_Granville-Grossman,DelGiorno,017_GGRC_DelGiorno_5_pdf_house_0.png
Kitchen W507,5,Renee_Granville-Grossman,DelGiorno,017_GGRC_DelGiorno_5_pdf_house_0.png
Trash Room W516,5,Renee_Granville-Grossman,DelGiorno,017_GGRC_DelGiorno_5_pdf_house_0.png
Bathroom W520,5,Renee_Granville-Grossman,DelGiorno,017_GGRC_DelGiorno_5_pdf_house_0.png
Bathroom W522 All Gender,5,Renee_Granville-Grossman,DelGiorno,017_GGRC_DelGiorno_5_pdf_house_0.png
RH W531,5,Renee_Granville-Grossman,DelGiorno,017_GGRC_DelGiorno_5_pdf_house_0.png
Trash Room W808,8,Renee_Granville-Grossman,Delgiorno,018_GGRC_Delgiorno_8_pdf_house_0.png
Bathroom Men,8,Renee_Granville-Grossman,Delgiorno,018_GGRC_Delgiorno_8_pdf_house_0.png
RA W823,8,Renee_Granville-Grossman,Delgiorno,018_GGRC_Delgiorno_8_pdf_house_0.png
Trash Room W606,6,Renee_Granville-Grossman,DelGiorno,019_GGRC_DelGiorno_6_pdf_house_0.png
Bathroom W612 Women,6,Renee_Granville-Grossman,DelGiorno,019_GGRC_DelGiorno_6_pdf_house_0.png
RH W623,6,Renee_Granville-Grossman,DelGiorno,019_GGRC_DelGiorno_6_pdf_house_0.png
Bathroom C702 Women,7,Renee_Granville-Grossman,Crown,020_GGRC_Crown_7_pdf_house_0.png
Trash Room C717,7,Renee_Granville-Grossman,Crown,020_GGRC_Crown_7_pdf_house_0.png
RA C716,7,Renee_Granville-Grossman,Crown,020_GGRC_Crown_7_pdf_house_0.png
Bathroom C725,7,Renee_Granville-Grossman,Crown,020_GGRC_Crown_7_pdf_house_0.png
