Room Number,Floor,Building Name,House Name,Room Type,Original Image
217,2,Snell_Hitchcock,Snell,Single,001_Snell_Floor_2_pdf_house_0.png
226,2,Snell_Hitchcock,Snell,Single,001_Snell_Floor_2_pdf_house_0.png
222,2,Snell_Hitchcock,Snell,Single,001_Snell_Floor_2_pdf_house_0.png
225,2,Snell_Hitchcock,Snell,Single,001_Snell_Floor_2_pdf_house_0.png
223,2,Snell_Hitchcock,Snell,Single,001_Snell_Floor_2_pdf_house_0.png
224,2,Snell_Hitchcock,Snell,Single,001_Snell_Floor_2_pdf_house_0.png
220,2,Snell_Hitchcock,Snell,Double,001_Snell_Floor_2_pdf_house_0.png
314,3,Snell_Hitchcock,Hitchcock,Single,002_Hitchcock_Floor_3_pdf_house_0.png
315,3,Snell_Hitchcock,Hitchcock,Single,002_Hitchcock_Floor_3_pdf_house_0.png
313,3,Snell_Hitchcock,Hitchcock,Single,002_Hitchcock_Floor_3_pdf_house_0.png
312,3,Snell_Hitchcock,Hitchcock,Single,002_Hitchcock_Floor_3_pdf_house_0.png
311,3,Snell_Hitchcock,Hitchcock,Single,002_Hitchcock_Floor_3_pdf_house_0.png
310,3,Snell_Hitchcock,Hitchcock,Single,002_Hitchcock_Floor_3_pdf_house_0.png
344,3,Snell_Hitchcock,Hitchcock,Single,002_Hitchcock_Floor_3_pdf_house_0.png
345,3,Snell_Hitchcock,Hitchcock,Single,002_Hitchcock_Floor_3_pdf_house_0.png
346,3,Snell_Hitchcock,Hitchcock,Single,002_Hitchcock_Floor_3_pdf_house_0.png
343,3,Snell_Hitchcock,Hitchcock,Single,002_Hitchcock_Floor_3_pdf_house_0.png
347,3,Snell_Hitchcock,Hitchcock,Single,002_Hitchcock_Floor_3_pdf_house_0.png
321,3,Snell_Hitchcock,Hitchcock,Double,002_Hitchcock_Floor_3_pdf_house_0.png
322,3,Snell_Hitchcock,Hitchcock,Double,002_Hitchcock_Floor_3_pdf_house_0.png
323,3,Snell_Hitchcock,Hitchcock,Double,002_Hitchcock_Floor_3_pdf_house_0.png
324,3,Snell_Hitchcock,Hitchcock,Double,002_Hitchcock_Floor_3_pdf_house_0.png
325,3,Snell_Hitchcock,Hitchcock,Double,002_Hitchcock_Floor_3_pdf_house_0.png
326,3,Snell_Hitchcock,Hitchcock,Double,002_Hitchcock_Floor_3_pdf_house_0.png
