Full Text,Floor,Building Name,House Name,Original Image
Bathroom 218 Men,2,Snell_Hitchcock,Snell,001_Snell_Floor_2_pdf_house_0.png
RH Apartment 211,2,Snell_Hitchcock,Snell,001_Snell_Floor_2_pdf_house_0.png
Bathroom 327,3,Snell_Hitchcock,Hitchcock,002_Hitchcock_Floor_3_pdf_house_0.png
Bathroom All Gender 328,3,Snell_Hitchcock,Hitchcock,002_Hitchcock_Floor_3_pdf_house_0.png
Bathroom 348 All Gender,3,Snell_Hitchcock,Hitchcock,002_Hitchcock_Floor_3_pdf_house_0.png
RA 340,3,Snell_Hitchcock,Hitchcock,002_Hitchcock_Floor_3_pdf_house_0.png
Women Bathroom 128,2,Snell_Hitchcock,Hitchcock,003_Hitchcock_Floor_2_pdf_house_0.png
Bathroom 225,2,Snell_Hitchcock,Hitchcock,003_Hitchcock_Floor_2_pdf_house_0.png
Bathroom 325,2,Snell_Hitchcock,Hitchcock,003_Hitchcock_Floor_2_pdf_house_0.png
Bathroom 425,2,Snell_Hitchcock,Hitchcock,003_Hitchcock_Floor_2_pdf_house_0.png
Women Bathroom 527,2,Snell_Hitchcock,Hitchcock,003_Hitchcock_Floor_2_pdf_house_0.png
Bathroom All Gender 117,1,Snell_Hitchcock,Hitchcock,004_Hitchcock_Floor_1_pdf_house_0.png
RD Apartment 311,1,Snell_Hitchcock,Hitchcock,004_Hitchcock_Floor_1_pdf_house_0.png
RH Apartment 512,1,Snell_Hitchcock,Hitchcock,004_Hitchcock_Floor_1_pdf_house_0.png
Hitchcock Lounge 516,1,Snell_Hitchcock,Hitchcock,004_Hitchcock_Floor_1_pdf_house_0.png
RA 142,4,Snell_Hitchcock,Hitchcock,005_Hitchcock_Floor_4_pdf_house_0.png
RA 544,4,Snell_Hitchcock,Hitchcock,005_Hitchcock_Floor_4_pdf_house_0.png
Bathroom All Gender 148,4,Snell_Hitchcock,Hitchcock,005_Hitchcock_Floor_4_pdf_house_0.png
Bathroom All Gender 548,4,Snell_Hitchcock,Hitchcock,005_Hitchcock_Floor_4_pdf_house_0.png
Bathroom 118 All Gender,1,Snell_Hitchcock,Snell,006_Snell_Floor_1_pdf_house_0.png
Lounge 111,1,Snell_Hitchcock,Snell,006_Snell_Floor_1_pdf_house_0.png
Bathroom 418 All Gender,4,Snell_Hitchcock,Snell,007_Snell_Floor_4_pdf_house_0.png
RA 419,4,Snell_Hitchcock,Snell,007_Snell_Floor_4_pdf_house_0.png
Bathroom 318 Women,3,Snell_Hitchcock,Snell,008_Snell_Floor_3_pdf_house_0.png
